Time, fMagVelBx, fMagVelBy, fMagVelBz, s_nZeroVelChkCnt, ZUPT_Run_Flag, ZUPT_FLAG 
109.114807,0.011034,4.598131,0.006678, 0, 0, 0
109.124809,0.012915,4.637762,0.006053, 0, 0, 0
109.134804,0.010672,4.675573,0.010359, 0, 0, 0
109.144806,0.008767,4.712006,0.015173, 0, 0, 0
109.154808,0.009190,4.749229,0.017235, 0, 0, 0
109.164810,0.008380,4.787896,0.018068, 0, 0, 0
109.174805,0.008410,4.826440,0.018744, 0, 0, 0
109.184807,0.009317,4.866082,0.021399, 0, 0, 0
109.194809,0.007367,4.906027,0.024220, 0, 0, 0
109.204803,0.006407,4.944808,0.026506, 0, 0, 0
109.214806,0.050264,4.278533,0.114370, 0, 0, 0
109.224808,0.019931,4.312627,0.000578, 0, 0, 0
109.234802,0.017137,4.346075,0.001532, 0, 0, 0
109.244804,0.018168,4.380325,0.002158, 0, 0, 0
109.254807,0.018441,4.414836,0.001832, 0, 0, 0
109.264809,0.014275,4.448333,0.003496, 0, 0, 0
109.274803,0.010600,4.480406,0.004641, 0, 0, 0
109.284805,0.012368,4.511585,0.007097, 0, 0, 0
109.294807,0.015178,4.543549,0.008328, 0, 0, 0
109.304810,0.012852,4.576894,0.009350, 0, 0, 0
109.314804,0.010737,4.611668,0.005478, 0, 0, 0
109.324806,0.010782,4.646048,0.001793, 0, 0, 0
109.334808,0.011890,4.678873,0.000498, 0, 0, 0
109.344810,0.011502,4.710724,0.004178, 0, 0, 0
109.354805,0.010222,4.742137,0.009870, 0, 0, 0
109.364807,0.012909,4.775431,0.010715, 0, 0, 0
109.374809,0.015738,4.810471,0.006666, 0, 0, 0
109.384804,0.013846,4.844342,0.003727, 0, 0, 0
109.394806,0.010782,4.876268,0.004774, 0, 0, 0
109.404808,0.011278,4.906411,0.010001, 0, 0, 0
109.414803,0.013755,4.937291,0.012992, 0, 0, 0
109.424805,0.012303,4.968306,0.018246, 0, 0, 0
109.434807,0.010935,5.000164,0.017973, 0, 0, 0
109.444809,0.010844,5.033533,0.017116, 0, 0, 0
109.454803,0.009607,5.066328,0.016159, 0, 0, 0
109.464806,0.028038,4.439066,0.093737, 0, 0, 0
109.474808,0.020713,4.467102,0.002983, 0, 0, 0
109.484810,0.020844,4.495008,0.004398, 0, 0, 0
109.494804,0.019367,4.523367,0.005910, 0, 0, 0
109.504807,0.017626,4.552473,0.006577, 0, 0, 0
109.514809,0.018913,4.581583,0.003036, 0, 0, 0
109.524803,0.018479,4.609372,0.005560, 0, 0, 0
