time,gps->velocity_mps[0], gps->velocity_mps[1],gps->speed_mps, gps->speedAccur_mps,gps->heading_motion_rad, gps->headingAccur_rad,rt_float[0], rt_float[1],
0.0000000,0.0000000,0.0150000,0.0150000,0.1460000,-0.0000000,3.1415927,0.0471239,0.1460000,
0.0000000,0.0000000,0.0080000,0.0080000,0.1530000,-0.0000000,3.1415927,0.0251327,0.1530000,
0.0000000,0.0000000,0.0030000,0.0030000,0.1500000,-0.0000000,3.1415927,0.0094248,0.1500000,
0.0000000,0.0000000,0.0100000,0.0100000,0.1410000,-0.0000000,3.1415927,0.0314159,0.1410000,
0.0000000,0.0000000,0.0110000,0.0110000,0.1030000,-0.0000000,3.1415927,0.0345575,0.1030000,
0.0000000,0.0000000,0.0080000,0.0080000,0.1440000,-0.0000000,3.1415927,0.0251327,0.1440000,
0.0000000,0.0000000,0.0020000,0.0020000,0.1380000,-0.0000000,3.1415927,0.0062832,0.1380000,
0.0000000,0.0000000,0.0290000,0.0290000,0.1010000,-0.0000000,3.1415927,0.0911062,0.1010000,
0.0000000,0.0000000,0.1310000,0.1310000,0.1040000,-0.0000000,1.0734667,0.1406241,0.1040000,
0.0000000,0.2146621,0.0317675,0.2170000,0.1080000,-1.4238745,0.6370176,0.1087361,0.1376545,
0.0000000,0.3579009,0.0472012,0.3610000,0.1080000,-1.4396697,0.3827867,0.0100000,0.0100000,
0.0000000,0.4528924,0.0962157,0.4630000,0.1020000,-1.3614615,0.2904573,0.0100000,0.0100000,
0.0000000,0.5461861,0.1142137,0.5580000,0.1010000,-1.3646555,0.2453802,0.0100000,0.0100000,
0.0000000,0.6543176,0.1393899,0.6690000,0.1070000,-1.3609030,0.2107742,0.0100000,0.0100000,
0.0000000,0.7449846,0.1398643,0.7580000,0.1040000,-1.3852154,0.1857652,0.0100000,0.0100000,
0.0000000,0.8484516,0.1464615,0.8610000,0.1040000,-1.3998588,0.1644707,0.0100000,0.0100000,
0.0000000,0.9276266,0.1391147,0.9380000,0.1020000,-1.4219372,0.1505978,0.0100000,0.0100000,
0.0000000,1.0920365,0.0458844,1.0930001,0.1000000,-1.5288037,0.1340006,0.0100000,0.0100000,
0.0000000,1.2873607,0.0649896,1.2890000,0.0990000,-1.5203563,0.1145353,0.0100000,0.0100000,
0.0000000,1.3999999,0.0006598,1.4000000,0.0970000,-1.5703250,0.1053943,0.0100000,0.0100000,
0.0000000,1.6032354,-0.0752421,1.6050000,0.0960000,-1.6176933,0.0919691,0.0100000,0.0100000,
0.0000000,1.7341318,-0.1944529,1.7450000,0.0950000,-1.6824626,0.0891019,0.0100000,0.0100000,
0.0000000,1.8808275,-0.2830048,1.9020000,0.0950000,-1.7201442,0.0770856,0.0100000,0.0100000,
0.0000000,1.9732304,-0.3981596,2.0130000,0.0940000,-1.7699034,0.0732485,0.0100000,0.0100000,
0.0000000,2.1599996,-0.4674425,2.2100000,0.0950000,-1.7839185,0.0646727,0.0100000,0.0100000,
0.0000000,2.4295511,-0.5314604,2.4870000,0.0930000,-1.7861525,0.0587912,0.0100000,0.0100000,
